category,rating,reviews,size,price,content_rating,last_updated_on,release_version,os_version_required,downloads
Game Casual,3.79,14,5.6M,Free,Everyone,Dec 06 2019,1.2,2.3.3 and up,"5,000+"
Lifestyle,5.0,10,21M,Free,Everyone,Jun 28 2019,2.18,4.1 and up,"1,000+"
Lifestyle,4.67,20068,Varies with device,Free,Everyone,Apr 09 2020,Varies with device,Varies with device,"1,000,000+"
Parenting,3.77,13,25M,Free,Everyone,Dec 04 2018,3,4.0.3 and up,"5,000+"
Entertainment,4.57,3279,5.5M,Free,Everyone,Apr 28 2020,12,4.1 and up,"100,000+"
Tools,4.52,151,13M,Free,Everyone,Apr 28 2020,1.2.2,4.0.3 and up,"1,000+"
Game Strategy,3.9,291,80M,Free,Everyone 10+,Oct 04 2018,1.1.1,4.0.3 and up,"10,000+"
News And Magazines,2.59,332,8.9M,Free,Everyone,Nov 19 2019,5.0.0,5.0 and up,"50,000+"
Lifestyle,3.6,62,18M,Free,Everyone,Apr 08 2020,2.1.20,4.1 and up,"10,000+"
Tools,3.79,3618,5.3M,Free,Everyone,Apr 18 2018,1.8,4.0 and up,"500,000+"
Finance,3.76,34,5.5M,Free,Everyone,Apr 30 2020,1.1,4.1 and up,"1,000+"
Sports,4.78,854,19M,Free,Everyone,Nov 23 2019,2.0.1,4.1 and up,"10,000+"
Music And Audio,4.16,2059342,Varies with device,Free,Teen,May 06 2020,Varies with device,Varies with device,"100,000,000+"
Sports,3.62,7078,Varies with device,Free,Everyone 10+,Apr 21 2020,2.7.6,4.4 and up,"1,000,000+"
Art And Design,3.91,11,8.2M,Free,Everyone,May 02 2019,1,2.3.3 and up,"1,000+"
Entertainment,4.39,159618,Varies with device,Free,Everyone,Feb 15 2020,Varies with device,Varies with device,"10,000,000+"
Personalization,3.5,178,1.4M,Free,Everyone,Jan 29 2017,1.0,1.6 and up,"10,000+"
Family,4.1,413,930k,Free,Everyone,Mar 21 2017,1.6,2.1 and up,"10,000+"
Game Educational,4.28,127909,68M,Free,Everyone,Apr 24 2020,1.0.68,4.1 and up,"5,000,000+"
Game,4.5,6181640,58M,Free,Everyone,Jan 26 2019,2.2,4.0 and up,"100,000,000+"
Game Simulation,4.55,151894,51M,Free,Everyone 10+,May 06 2020,1.4.30,4.1 and up,"10,000,000+"
Education,4.44,34316,41M,Free,Everyone,Jan 17 2020,4.2.9,5.0 and up,"1,000,000+"
Food And Drink,4.1,1920,Varies with device,Free,Everyone,Sep 04 2019,Varies with device,Varies with device,"100,000+"
Game Word,4.41,3182,49M,Free,Everyone,May 01 2020,2.1.47,4.0.3 and up,"100,000+"
Game Adventure,4.34,35,62M,222.9942,Teen,Aug 20 2019,1.1.2,4.4 and up,"1,000+"
Lifestyle,4.0,889,16M,Free,Everyone,Sep 06 2019,1.1.4.38,4.2 and up,"100,000+"
Tools,4.0,127,5.8M,Free,Everyone,Jul 03 2016,1.31,2.2 and up,"10,000+"
Family,4.2,3328,Varies with device,297.5742,Everyone,Aug 17 2018,Varies with device,Varies with device,"100,000+"
Shopping,4.29,24353,32M,Free,Everyone,Apr 28 2020,5.10.1,4.4 and up,"1,000,000+"
Books And Reference,4.59,2601,2.6M,Free,Everyone,Mar 06 2020,2.5,4.0.3 and up,"100,000+"
Finance,4.21,44161,6.5M,Free,Everyone,Apr 22 2020,2.4.58,4.1 and up,"1,000,000+"
Lifestyle,4.2,894,25M,Free,Everyone,May 14 2019,5.600.42,4.0.3 and up,"50,000+"
Lifestyle,4.25,28989,16M,Free,Everyone,Jan 10 2017,3.1.5,4.0 and up,"500,000+"
Travel And Local,4.58,1056,63M,Free,Everyone,Mar 08 2020,1.2.0,4.0.3 and up,"100,000+"
Books And Reference,4.47,133,20M,Free,Everyone,Mar 24 2020,Spring,4.0 and up,"10,000+"
Family,4.0,248,26M,222.9942,Everyone,Aug 28 2019,1.6,4.1 and up,"5,000+"
Lifestyle,4.36,823,15M,Free,Teen,Jan 20 2020,2.1,4.0.3 and up,"500,000+"
Game Action,4.44,434920,19M,Free,Teen,Jul 12 2019,1.2.3,3.0 and up,"10,000,000+"
Lifestyle,4.39,119,3.7M,Free,Everyone,Sep 22 2019,1,4.1 and up,"100,000+"
Photography,4.55,424212,Varies with device,Free,Everyone,Apr 09 2020,Varies with device,Varies with device,"10,000,000+"
Education,4.74,752,11M,Free,Everyone,Mar 07 2020,1.0.3,4.4 and up,"10,000+"
Music And Audio,4.79,4536,44M,Free,Everyone,Nov 04 2017,2.1,2.3.3 and up,"100,000+"
Auto And Vehicles,4.59,19575,Varies with device,Free,Everyone,Apr 22 2020,Varies with device,Varies with device,"1,000,000+"
Game Card,4.4,6295,29M,Free,Teen,Apr 24 2020,3.5.1.5,4.0 and up,"100,000+"
News And Magazines,3.73,578,Varies with device,Free,Everyone 10+,Apr 09 2017,4.13.1,Varies with device,"100,000+"
Shopping,3.84,1365,12M,Free,Everyone,Apr 24 2020,1.6.5,4.1 and up,"100,000+"
Health And Fitness,4.08,118027,Varies with device,Free,Everyone,Dec 13 2019,Varies with device,Varies with device,"5,000,000+"
Sports,4.32,22,13M,Free,Everyone,Dec 31 2017,1.01,4.0 and up,"5,000+"
Tools,4.6,351267,5.0M,Free,Everyone,Mar 16 2019,3.1.0,4.0 and up,"10,000,000+"
Education,4.51,1016,36M,Free,Everyone,Jun 26 2014,4,2.2 and up,"100,000+"
Lifestyle,3.66,34194,31M,Free,Everyone,Apr 21 2020,06.01.03,4.4 and up,"10,000,000+"
Productivity,4.5,1079491,Varies with device,Free,Everyone,Aug 18 2019,16.0.10325.20059,4.4 and up,"100,000,000+"
Health And Fitness,4.0,12906,8.5M,Free,Everyone,Nov 12 2013,1.01,2.1 and up,"1,000,000+"
House And Home,4.75,4,11M,Free,Everyone,Apr 18 2020,3.2,4.1 and up,100+
Business,4.45,1761,4.8M,Free,Everyone,Mar 22 2020,1.02.93,4.4 and up,"100,000+"
Education,3.37,9663,61M,Free,Everyone,May 02 2020,4.5.9,5.0 and up,"1,000,000+"
Health And Fitness,4.03,37,9.5M,Free,Everyone,Dec 04 2019,1.6.2,4.1 and up,"10,000+"
Sports,4.6,342,38M,Free,Everyone,Sep 10 2019,2.22.0,4.2 and up,"10,000+"
Family,4.2,1330,96M,73.8342,Teen,Aug 22 2019,1.1.0,4.4 and up,"10,000+"
Lifestyle,3.38,146,2.8M,73.8342,Everyone,Jan 17 2015,1.0.71,4.0 and up,"5,000+"
Entertainment,3.94,9575,3.9M,Free,Everyone,Mar 09 2020,2.1.0,4.2 and up,"1,000,000+"
Communication,4.5,17712922,40M,Free,Teen,Sep 06 2019,12.8.5.1121,4.0 and up,"500,000,000+"
Communication,4.3,488,2.5M,Free,Everyone,Dec 23 2016,6.2.3,3.0 and up,"50,000+"
Books And Reference,4.54,14115,26M,Free,Everyone,Apr 23 2020,1.6.3,4.1 and up,"500,000+"
Entertainment,4.51,2013,6.5M,Free,Everyone,Apr 15 2020,3.2,4.2 and up,"50,000+"
Family,4.5,2442,13M,Free,Everyone,Aug 10 2019,2.5.111,4.0.3 and up,"100,000+"
Family,4.6,12034,34M,Free,Everyone,Jun 30 2019,4.8,4.1 and up,"1,000,000+"
Tools,3.07,2860,Varies with device,Free,Everyone,May 06 2020,Varies with device,4.3 and up,"100,000+"
Game Educational,3.67,8369,34M,Free,Everyone,Dec 14 2019,2,4.0.3 and up,"1,000,000+"
Music And Audio,5.0,1,4.5M,Free,Teen,Feb 21 2020,1,4.0.3 and up,100+
Game Puzzle,4.3,1624310,35M,Free,Everyone,Apr 11 2020,7.5.0,4.2 and up,"50,000,000+"
Health And Fitness,4.65,34615,11M,Free,Everyone,May 06 2020,1.22,4.1 and up,"1,000,000+"
Finance,3.6,5883,19M,Free,Everyone,Apr 14 2020,25.7,4.0 and up,"500,000+"
Books And Reference,4.35,312,9.4M,Free,Everyone,May 05 2020,2.4,4.1 and up,"50,000+"
Game Educational,4.15,726,50M,Free,Everyone,Sep 28 2017,1.0.5,2.3 and up,"500,000+"
Lifestyle,3.7,35057,24M,Free,Everyone,Apr 25 2020,6.2.11,4.4 and up,"10,000,000+"
Finance,4.66,18393,10M,Free,Everyone,May 02 2020,2.307,4.4 and up,"100,000+"
Music And Audio,4.55,1797,8.5M,Free,Everyone,Nov 12 2019,3.1.35,4.1 and up,"100,000+"
Lifestyle,4.37,36570,9.4M,Free,Everyone,Apr 29 2020,4.1.8,4.0.3 and up,"500,000+"
Lifestyle,4.13,15,Varies with device,Free,Everyone,Jan 16 2018,Varies with device,Varies with device,"1,000+"
Shopping,4.17,10036,17M,Free,Everyone,Jan 08 2020,1.4,4.3 and up,"1,000,000+"
News And Magazines,4.42,24,16M,Free,Everyone,Nov 15 2019,2018.10.12,5.0 and up,"1,000+"
Tools,4.19,126580,8.1M,Free,Everyone,May 07 2020,4.5.0,4.1 and up,"1,000,000+"
Family,4.0,309,25M,Free,Everyone,Jun 06 2019,1.4,4.1 and up,"100,000+"
News And Magazines,4.2,83558,Varies with device,Free,Everyone,Aug 22 2019,Varies with device,Varies with device,"5,000,000+"
Finance,4.2,278082,70M,Free,Everyone,Sep 03 2019,10.78,4.0.3 and up,"10,000,000+"
Food And Drink,3.25,4149,9.4M,Free,Everyone,Apr 21 2020,2.1.12,4.1 and up,"100,000+"
Personalization,4.2,58052,4.0M,Free,Teen,Oct 19 2018,1.1.8,2.3.3 and up,"5,000,000+"
Books And Reference,4.74,35,4.4M,260.2842,Everyone,May 01 2020,1.6.75 verbs pro,4.0.3 and up,100+
Game Role Playing,4.7,1155423,93M,Free,Everyone 10+,May 06 2020,20.0.0,4.4 and up,"10,000,000+"
News And Magazines,4.6,62740,8.6M,Free,Mature 17+,Jul 21 2019,16.3,4.1 and up,"500,000+"
Music And Audio,4.78,1649,93M,Free,Everyone,Mar 31 2020,3.1,4.1 and up,"100,000+"
Family,4.4,1372013,57M,Free,Everyone,Dec 26 2018,1.10.0,4.1 and up,"100,000,000+"
Travel And Local,4.7,192641,33M,Free,Everyone,Jul 12 2019,17.4.1,4.0.3 and up,"5,000,000+"
Social,4.4,441189,Varies with device,Free,Everyone,Sep 07 2019,Varies with device,Varies with device,"10,000,000+"
Books And Reference,4.72,43127,11M,Free,Everyone,Nov 28 2019,2.8.75,4.1 and up,"1,000,000+"
Education,4.18,57,12M,Free,Everyone,Sep 04 2019,1.5,4.1 and up,"1,000+"
Game Board,4.61,6832,Varies with device,Free,Teen,Nov 26 2019,1.36.3,5.0 and up,"100,000+"
Productivity,4.53,109,2.8M,Free,Everyone,Dec 06 2019,3,4.0.3 and up,"10,000+"
Game Word,3.58,26,3.0M,Free,Everyone,Oct 19 2017,1.1,4.0.3 and up,"5,000+"
Sports,4.11,689,8.2M,Free,Everyone,Apr 26 2020,9.0.6,4.1 and up,"100,000+"
Photography,4.6,3636,18M,Free,Everyone,Jan 29 2020,1.0.10,4.0.3 and up,"500,000+"
Travel And Local,3.3,4444,Varies with device,Free,Everyone,Apr 17 2020,Varies with device,4.3 and up,"1,000,000+"
Sports,4.49,193298,31M,Free,Everyone,Apr 24 2020,7.2.2,4.4 and up,"10,000,000+"
Photography,3.59,3663,5.2M,Free,Everyone,Jan 13 2020,1.1,4.0.3 and up,"500,000+"
Game Simulation,4.29,360342,Varies with device,Free,Everyone 10+,Feb 20 2020,Varies with device,Varies with device,"10,000,000+"
Productivity,4.48,159240,6.0M,Free,Everyone,Jan 09 2020,3.3.4,4.0 and up,"10,000,000+"
Game Adventure,4.25,773,51M,372.1542,Everyone,Mar 25 2020,2.0.6,4.1 and up,"10,000+"
Education,4.5,11460,5.7M,Free,Everyone,Apr 30 2020,5.1.3,4.3 and up,"1,000,000+"
Game Arcade,4.0,27310,17M,Free,Everyone,Oct 27 2019,4.9,4.2 and up,"5,000,000+"
Travel And Local,4.11,196,22M,Free,Everyone,Apr 23 2020,1.9.13,5.0 and up,"50,000+"
Education,4.19,32,5.8M,Free,Everyone,Nov 11 2019,1.1.5,4.4 and up,"1,000+"
Photography,4.4,3158151,53M,Free,Everyone,Sep 04 2019,6.9.031,4.1 and up,"100,000,000+"
Finance,4.81,61785,23M,Free,Everyone,May 07 2020,1.21.5,4.4 and up,"1,000,000+"
Maps And Navigation,4.19,265,21M,Free,Everyone,Apr 29 2020,1.3.908,5.0 and up,"5,000+"
Medical,4.6,21189,36M,Free,Everyone,Sep 10 2019,3.52.1,5.0 and up,"1,000,000+"
Music And Audio,3.56,96,2.4M,Free,Everyone,Mar 29 2020,1.2,4.0 and up,"10,000+"
Business,3.43,49,23M,Free,Everyone,Mar 13 2020,1.0.5,4.4 and up,"5,000+"
Finance,4.38,254573,45M,Free,Everyone,Apr 28 2020,5.6.0,4.2 and up,"10,000,000+"
Education,4.41,79,18M,Free,Everyone,May 05 2020,4.0.10,4.0 and up,"50,000+"
Books And Reference,4.56,312,4.8M,Free,Everyone,Dec 28 2019,1.3,4.1 and up,"10,000+"
Education,4.41,448,4.5M,Free,Everyone,Apr 17 2020,1,4.0 and up,"50,000+"
Education,4.6,422,11M,Free,Everyone,Dec 31 2018,1.5,4.1 and up,"100,000+"
News And Magazines,3.9,878065,13M,Free,Teen,Sep 05 2019,5.2.0,4.4 and up,"1,000,000,000+"
Game Action,4.01,10431,40M,73.8342,Teen,Oct 31 2019,1.1.8,4.1 and up,"1,000,000+"
Education,4.03,209,7.7M,Free,Everyone,May 06 2020,3.0.41 infantil,4.0 and up,"10,000+"
Game Casual,4.19,466,95M,Free,Everyone,Mar 28 2020,1.2.2,4.1 and up,"100,000+"
News And Magazines,3.28,2875,14M,Free,Everyone,Apr 28 2020,3.2,5.0 and up,"100,000+"
Maps And Navigation,3.25,505,4.0M,745.0542,Everyone,Apr 15 2020,3.26,4.4 and up,"10,000+"
Books And Reference,4.32,1668,6.8M,Free,Everyone,Oct 24 2019,3.0.6-g,4.1 and up,"100,000+"
Personalization,3.52,162,5.4M,Free,Everyone,Mar 31 2019,3,4.1 and up,"10,000+"
Family,4.3,10483141,24M,Free,Everyone,Jun 29 2019,1.4.77,4.0 and up,"500,000,000+"
Tools,3.3,75,4.7M,Free,Everyone,Jul 12 2019,1.3,4.0.3 and up,"10,000+"
Tools,4.41,5953,2.4M,Free,Everyone,Apr 06 2020,1.12,4.1 and up,"500,000+"
Finance,3.41,21455,30M,Free,Everyone,Apr 28 2020,1.7.2,4.0 and up,"5,000,000+"
Productivity,3.95,44,4.0M,Free,Everyone,Mar 14 2020,Varies with device,Varies with device,"10,000+"
Photography,3.91,15717,9.1M,Free,Everyone,May 05 2020,7.5.0,5.1 and up,"1,000,000+"
Social,3.81,9187,Varies with device,Free,Teen,May 05 2020,Varies with device,Varies with device,"500,000+"
Productivity,4.34,5811,3.6M,Free,Everyone,Jul 03 2018,2.2.1,4.0 and up,"500,000+"
Entertainment,2.2,771,25M,Free,Everyone,Apr 16 2020,1.1.5,4.4 and up,"100,000+"
Tools,4.45,1711,4.3M,Free,Everyone,Apr 18 2020,1.0.4,4.1 and up,"100,000+"
Tools,4.11,94,1.0M,Free,Everyone,Nov 30 2015,1.0.6,3.0 and up,"10,000+"
Lifestyle,4.53,1777,19M,Free,Everyone,Mar 08 2019,1.13,4.1 and up,"100,000+"
Tools,4.73,3184,1.8M,Free,Everyone,Mar 02 2020,1.9,4.1 and up,"100,000+"
Finance,3.33,8825,95M,Free,Everyone,Apr 26 2020,2.1.119,4.4 and up,"1,000,000+"
Game Strategy,4.03,96413,17M,Free,Everyone,Jan 29 2020,2.4.1,4.4 and up,"1,000,000+"
Entertainment,4.6,10,27M,Free,Everyone,Sep 11 2019,5.0.46,4.1 and up,"1,000+"
Entertainment,3.64,67,13M,Free,Everyone,Nov 12 2019,1,4.0.3 and up,"10,000+"
Tools,4.6,79,3.0M,Free,Everyone,Dec 13 2018,2.9.9,4.0.3 and up,"1,000+"
Events,4.26,47,14M,Free,Everyone,Mar 12 2020,16.8.3,4.4 and up,"1,000+"
Game Action,4.48,49115,Varies with device,Free,Mature 17+,Apr 14 2020,5.17.0,4.1 and up,"5,000,000+"
Sports,4.54,605,8.3M,Free,Everyone,Apr 07 2020,3.9,4.0.3 and up,"100,000+"
Communication,4.2,42925,2.8M,Free,Everyone,Oct 01 2018,6.1,2.3 and up,"1,000,000+"
Game Role Playing,4.32,5840,41M,Free,Everyone 10+,Mar 27 2020,2.1.7,4.1 and up,"500,000+"
Game Action,4.39,14126,47M,Free,Everyone 10+,Apr 18 2020,1.1.8,4.1 and up,"100,000+"
Game Casual,4.2,2694,27M,Free,Everyone,Apr 16 2020,1.5.2,4.1 and up,"1,000,000+"
Game Board,4.71,202177,67M,Free,Teen,May 14 2019,1.0.7,4.0.3 and up,"1,000,000+"
Health And Fitness,4.71,822,15M,Free,Everyone,May 02 2020,1.14.3,4.1 and up,"100,000+"
Family,4.3,31705,49M,Free,Everyone,Dec 11 2018,1.7,4.1 and up,"5,000,000+"
Business,4.2,30847,55M,Free,Everyone,Mar 15 2019,7.3.21,4.1 and up,"5,000,000+"
Social,1.0,1,18k,222.9942,Everyone,Aug 29 2018,1.0.1,4.0 and up,10+
Medical,4.51,143,3.8M,Free,Everyone,Apr 08 2020,2,4.0.3 and up,"10,000+"
Photography,4.3,46242,5.2M,Free,Everyone,Oct 25 2017,2.1.3,4.0 and up,"1,000,000+"
Lifestyle,4.64,166,42M,73.8342,Everyone,Mar 30 2020,1.1.4,4.1 and up,"1,000+"
Game,4.5,401425,70M,Free,Everyone,May 17 2018,1.6.1,4.0.3 and up,"10,000,000+"
Entertainment,3.3,869,8.3M,Free,Everyone,Apr 15 2020,2.1.9,4.1 and up,"1,000,000+"
Finance,3.7,36718,Varies with device,Free,Everyone,Aug 20 2019,Varies with device,Varies with device,"5,000,000+"
Finance,4.07,19711,85M,Free,Everyone,Mar 19 2020,5.0.0,4.0 and up,"1,000,000+"
Music And Audio,4.61,254,9.4M,Free,Teen,Apr 02 2020,1.4,4.1 and up,"10,000+"
Tools,4.2,38,251k,Free,Everyone,Mar 02 2018,1.4,1.6 and up,"5,000+"
Productivity,4.53,58198,14M,Free,Everyone,Aug 11 2019,1.5.11,4.0 and up,"1,000,000+"
Libraries And Demo,3.85,322,5.2M,Free,Everyone,Feb 15 2020,10.8.6,6.0 and up,"50,000+"
Entertainment,3.9,1505,41M,Free,Teen,Apr 02 2020,V6.3.0 20190215t085240,5.0 and up,"100,000+"
Productivity,4.67,3,10M,Free,Everyone,Apr 11 2020,1.5.8,4.1 and up,100+
Sports,4.4,122280,Varies with device,Free,Everyone 10+,Aug 24 2019,Varies with device,Varies with device,"5,000,000+"
Entertainment,4.46,21556,Varies with device,Free,Everyone,Feb 20 2020,Varies with device,Varies with device,"1,000,000+"
Education,4.1,62,47M,Free,Everyone,Aug 09 2019,1.1,4.1 and up,"50,000+"
House And Home,4.57,5147,3.2M,Free,Everyone,Oct 26 2019,1,4.1 and up,"500,000+"
Education,5.0,4,15M,Free,Everyone,Nov 27 2019,1,4.4 and up,500+
Finance,1.0,2,32M,Free,Everyone,Apr 30 2020,1.0.3,4.4 and up,"1,000+"
Business,4.2,4670,25M,Free,Everyone,Apr 28 2020,9.6.2.39112,5.0 and up,"100,000+"
Tools,4.6,1170641,26M,Free,Everyone,Aug 30 2019,4.2.1.4174,4.1 and up,"10,000,000+"
Education,5.0,2,15M,Free,Everyone,Apr 21 2020,4.0.7,4.0.3 and up,500+
Education,4.86,28,3.0M,Free,Everyone,Apr 17 2020,5.0.2,4.4 and up,500+
Personalization,3.67,6,3.4M,Free,Everyone,Jan 14 2019,1.1,4.4 and up,"1,000+"
Sports,4.3,91031,Varies with device,Free,Everyone,Sep 08 2019,Varies with device,5.0 and up,"5,000,000+"
Music And Audio,4.35,755049,Varies with device,Free,Teen,May 02 2020,Varies with device,Varies with device,"100,000,000+"
Education,4.44,180,10M,Free,Everyone,Jan 31 2020,1.13,4.1 and up,"100,000+"
Tools,4.21,58,4.9M,Free,Everyone,Jul 30 2017,1.0.3,2.3 and up,"10,000+"
Family,4.4,765,51M,Free,Everyone,Feb 23 2018,1.0.9,2.3 and up,"1,000,000+"
Game Strategy,4.56,109507,Varies with device,Free,Everyone 10+,Apr 30 2020,6.8.10,4.1 and up,"1,000,000+"
Maps And Navigation,4.5,65590,18M,Free,Everyone,Aug 13 2019,3.1.0,4.0 and up,"5,000,000+"
Entertainment,4.44,681207,Varies with device,Free,Everyone,Apr 30 2020,Varies with device,Varies with device,"50,000,000+"
Comics,3.7,705,20M,Free,Teen,Aug 23 2019,1.3.0,4.0.3 and up,"50,000+"
Health And Fitness,4.21,1886,3.9M,Free,Everyone,Oct 07 2019,2.9.17,4.4 and up,"100,000+"
Game Puzzle,4.56,3098,Varies with device,185.70420000000001,Everyone,Oct 18 2019,Varies with device,Varies with device,"10,000+"
Video Players,2.7,2332,4.1M,Free,Everyone,Mar 30 2018,1.52�0.90,2.1 and up,"100,000+"
Game,3.1,440,9.1M,Free,Everyone,Dec 31 2013,1.0.6,2.1 and up,"50,000+"
Game Music,3.67,36,2.9M,Free,Everyone,Feb 11 2020,1.0.4,2.3 and up,"10,000+"
Personalization,4.74,23103,20M,Free,Everyone,Apr 10 2020,2.0.29,4.0.3 and up,"500,000+"
Game Educational,3.71,10862,98M,Free,Everyone,Jan 06 2018,7.3,4.0 and up,"1,000,000+"
Productivity,4.6,26919,Varies with device,446.7342,Everyone,Jul 30 2019,Varies with device,Varies with device,"100,000+"
Finance,4.05,78,30M,Free,Everyone,Dec 31 2019,4.4.10,4.3 and up,"5,000+"
Tools,4.39,8574,107k,Free,Everyone,Feb 29 2012,1.2.4,2.1 and up,"500,000+"
Shopping,4.19,33253,31M,Free,Everyone,Apr 10 2020,4.10.0,4.1 and up,"1,000,000+"
Music And Audio,4.59,1255,14M,Free,Everyone,Apr 14 2020,4.4 (557),4.4 and up,"100,000+"
Entertainment,4.88,8,2.1M,Free,Everyone,May 26 2019,1,4.0 and up,10+
Communication,4.72,334,25M,Free,Everyone,Feb 04 2020,1.2,4.3 and up,"10,000+"
Education,4.33,115,2.7M,Free,Everyone,Jun 09 2019,1.03,4.0.3 and up,"50,000+"
Finance,4.72,11160,15M,Free,Everyone,May 02 2020,2.2.2,4.4 and up,"100,000+"
Game Arcade,4.23,332,58M,Free,Everyone,Mar 14 2020,1.3.0,4.1 and up,"100,000+"
Lifestyle,3.71,7,4.5M,Free,Everyone,Nov 23 2018,1,2.3 and up,"1,000+"
Tools,4.16,384,844k,Free,Everyone,Feb 06 2015,2.07,2.1 and up,"10,000+"
Finance,4.49,217597,19M,Free,Everyone,May 01 2020,5.0.4,5.0 and up,"10,000,000+"
Medical,3.19,1594,Varies with device,Free,Everyone,Apr 03 2020,2.46,4.4 and up,"100,000+"
Sports,4.59,33807,55M,Free,Adults only 18+,Apr 24 2020,2.63,5.0 and up,"1,000,000+"
Social,5.0,2,1.8M,Free,Teen,Apr 22 2019,1.0,5.0 and up,10+
Entertainment,3.29,7,5.6M,Free,Everyone,Dec 27 2019,1.0-release-first,4.0.3 and up,"1,000+"
Maps And Navigation,4.08,515,1.1M,Free,Everyone,Jun 21 2018,1.91,2.2 and up,"50,000+"
Shopping,3.12,177,8.6M,Free,Everyone,Mar 06 2020,2.5.0,5.0 and up,"50,000+"
Entertainment,4.28,102,8.3M,Free,Everyone,Jan 04 2020,1,4.1 and up,"100,000+"
Dating,4.4,59,38M,Free,Everyone,Aug 23 2019,1.0.1,4.3 and up,"5,000+"
Game Role Playing,4.75,101362,23M,Free,Everyone 10+,May 01 2020,1.35.0,4.1 and up,"1,000,000+"
Photography,4.49,42391,42M,Free,Everyone,Dec 24 2019,2.2,4.1 and up,"1,000,000+"
House And Home,4.4,71419,Varies with device,Free,Everyone,Aug 28 2019,Varies with device,Varies with device,"5,000,000+"
Books And Reference,4.2,873,2.5M,Free,Everyone,Sep 04 2015,2.2,2.1 and up,"50,000+"
Lifestyle,4.5,18768,Varies with device,Free,Everyone,Apr 16 2020,Varies with device,Varies with device,"500,000+"
Game Casino,4.51,33241,24M,Free,Teen,Jun 16 2018,17.05.11,4.0.3 and up,"500,000+"
Music And Audio,4.46,340420,3.7M,Free,Everyone,Feb 25 2020,1.5.8,4.2 and up,"10,000,000+"
Productivity,4.0,10780,Varies with device,Free,Everyone,Mar 26 2020,Varies with device,Varies with device,"5,000,000+"
Tools,3.4,30,22M,Free,Everyone,Jul 12 2018,1.2.2,4.1 and up,"5,000+"
Education,4.23,22,15M,Free,Mature 17+,Feb 11 2020,2.74.3,4.4 and up,"10,000+"
Music And Audio,3.14,1149,6.9M,Free,Everyone,Feb 13 2019,1.9.311.65,4.1 and up,"100,000+"
Travel And Local,3.99,39322,12M,Free,Everyone,Apr 15 2020,5.5.1,4.2 and up,"5,000,000+"
Travel And Local,3.85,2653,14M,Free,Everyone,Apr 07 2020,2.3.5,4.4 and up,"100,000+"
Family,4.1,681,48M,Free,Everyone,Aug 07 2015,1.2,2.2 and up,"100,000+"
Game Casino,3.0,3,45M,Free,Teen,Jul 11 2018,1,4.0.3 and up,"1,000+"
Tools,4.29,701,12M,Free,Everyone,Jun 12 2019,3,4.1 and up,"100,000+"
Food And Drink,4.55,9558,11M,Free,Everyone,Mar 25 2020,2.16.0.6201,4.1 and up,"500,000+"
Social,3.43,7,5.2M,Free,Everyone,Oct 14 2018,2.1.1,4.0.3 and up,"1,000+"
Business,4.7,68,3.5M,Free,Everyone,Jun 15 2018,1.1.10,4.4 and up,"10,000+"
Game Puzzle,4.36,1379942,85M,Free,Everyone,Apr 30 2020,2.17.10,4.0 and up,"100,000,000+"
Entertainment,4.57,5735,35M,Free,Everyone,Mar 03 2020,1.7.2,5.0 and up,"100,000+"
Personalization,4.3,26601,5.4M,Free,Everyone,Aug 20 2019,26.1.0.20180713,2.3.3 and up,"1,000,000+"
Tools,4.33,82505,6.8M,Free,Everyone,May 04 2020,1.38,4.0 and up,"5,000,000+"
Entertainment,4.26,188,65M,Free,Everyone,Dec 25 2019,1,4.1 and up,"50,000+"
Game Strategy,4.52,25343,57M,Free,Everyone,Nov 05 2019,2.3,4.0.3 and up,"500,000+"
Books And Reference,4.79,29,634k,Free,Everyone,May 06 2020,1.0.7,4.0 and up,"1,000+"
Books And Reference,4.67,166,2.9M,Free,Everyone,Feb 18 2020,1.2,4.0.3 and up,"100,000+"
Business,3.59,147,13M,Free,Everyone,Jul 12 2019,1,4.4 and up,"10,000+"
Business,4.5,234,3.4M,Free,Everyone,May 21 2019,2.4.3.1523,4.0 and up,"10,000+"
Music And Audio,4.28,86255,Varies with device,Free,Everyone,Jan 11 2019,Varies with device,Varies with device,"5,000,000+"
Business,5.0,3,79M,Free,Everyone,Dec 27 2019,1.0.0,5.0 and up,100+
Art And Design,4.42,647,18M,Free,Everyone,Mar 22 2020,Varies with device,Varies with device,"100,000+"
Game Card,4.42,978,22M,Free,Teen,Oct 19 2018,1.3.12,4.0.3 and up,"10,000+"
Social,3.94,13871,16M,Free,Teen,May 01 2020,4.7.0,6.0 and up,"1,000,000+"
Entertainment,4.32,458,4.5M,Free,Teen,Mar 06 2020,2.43,4.0 and up,"100,000+"
Health And Fitness,4.64,28275,Varies with device,Free,Everyone,May 06 2020,Varies with device,Varies with device,"1,000,000+"
Photography,4.3,251951,16M,Free,Mature 17+,Aug 15 2019,4.7.3,4.4 and up,"10,000,000+"
Business,4.13,1803,26M,Free,Everyone,May 23 2019,1.7.14,4.2 and up,"100,000+"
Books And Reference,4.4,33425,Varies with device,Free,Teen,Nov 21 2019,Varies with device,Varies with device,"1,000,000+"
Social,2.4,37,37M,Free,Teen,Jul 30 2018,1.0,4.1 and up,"5,000+"
Books And Reference,4.66,147,17M,Free,Everyone,Dec 04 2019,1.4,4.0.3 and up,"10,000+"
